ES_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 47    3    5    5    5    1    1    1    1    1    1    1    2    3
 48    3    5    5    5    1    1    1    1    1    1    1    2    3
 49    3    5    5    5    1    1    1    1    1    1    1    2    3
 50    3    5    5    5    1    1    1    1    1    1    1    2    3
 51    3    5    5    5    1    1    1    1    1    1    1    2    3
 52    3    5    5    5    1    1    1    1    1    1    1    2    3
 53    3    5    5    5    1    1    1    1    1    1    1    2    3
 54    3    5    5    5    1    1    1    1    1    1    1    2    3
 55    3    5    5    5    1    1    1    1    1    1    1    2    3
 56    3    5    5    5    1    1    1    1    1    1    1    2    3
 57    3    5    5    5    1    1    1    1    1    1    1    2    3
 58    3    5    5    5    1    1    1    1    1    1    1    2    3
 59    3    5    5    5    1    1    1    1    1    1    1    2    3
 60    3    5    5    5    1    1    1    1    1    1    1    2    3
 61    3    5    5    5    1    1    1    1    1    1    1    2    3
 62    3    5    5    5    1    1    1    1    1    1    1    2    3
 63    3    5    5    5    1    1    1    1    1    1    1    2    3
 64    3    5    5    5    1    1    1    1    1    1    1    2    3
 65    3    5    5    5    1    1    1    1    1    1    1    2    3
 66    3    5    5    5    1    1    1    1    1    1    1    2    3
 67    3    5    5    5    1    1    1    1    1    1    1    2    3
 68    3    5    5    5    1    1    1    1    1    1    1    2    3
 69    3    5    5    5    1    1    1    1    1    1    1    2    3
 70    3    5    5    5    1    1    1    1    1    1    1    2    3
 71    3    5    5    5    1    1    1    1    1    1    1    2    3
 72    3    5    5    5    1    1    1    1    1    1    1    2    3
 73    3    5    5    5    1    1    1    1    1    1    1    2    3
 74    3    5    5    5    1    1    1    1    1    1    1    2    3
 75    3    5    5    5    1    1    1    1    1    1    1    2    3
 76    3    5    5    5    1    1    1    1    1    1    1    2    3
 77    3    5    5    5    1    1    1    1    1    1    1    2    3
 78    3    5    5    5    1    1    1    1    1    1    1    2    3
 79    3    5    5    5    1    1    1    1    1    1    1    2    3
 80    3    5    5    5    1    1    1    1    1    1    1    2    3
 81    3    5    5    5    1    1    1    1    1    1    1    2    3
 82    3    5    5    5    1    1    1    1    1    1    1    2    3
 83    3    5    5    5    1    1    1    1    1    1    1    2    3
 84    3    5    5    5    1    1    1    1    1    1    1    2    3
 85    3    5    5    5    1    1    1    1    1    1    1    2    3
 86    3    5    5    5    1    1    1    1    1    1    1    2    3
 87    3    5    5    5    1    1    1    1    1    1    1    2    3
 88    3    5    5    5    1    1    1    1    1    1    1    2    3
 89    3    5    5    5    1    1    1    1    1    1    1    2    3
 90    3    5    5    5    1    1    1    1    1    1    1    2    3
 91    3    5    5    5    1    1    1    1    1    1    1    2    3
 92    3    5    5    5    1    1    1    1    1    1    1    2    3
 93    3    5    5    5    1    1    1    1    1    1    1    2    3
 94    3    5    5    5    1    1    1    1    1    1    1    2    3
 95    3    5    5    5    1    1    1    1    1    1    1    2    3
 96    3    5    5    5    1    1    1    1    1    1    1    2    3
 97    3    5    5    5    1    1    1    1    1    1    1    2    3
 98    3    5    5    5    1    1    1    1    1    1    1    2    3
 99    3    5    5    5    1    1    1    1    1    1    1    2    3
100    3    5    5    5    1    1    1    1    1    1    1    2    3
101    3    5    5    5    1    1    1    1    1    1    1    2    3
102    3    5    5    5    1    1    1    1    1    1    1    2    3
103    3    5    5    5    1    1    1    1    1    1    1    2    3
104    3    5    5    5    1    1    1    1    1    1    1    2    3
105    3    5    5    5    1    1    1    1    1    1    1    2    3
106    3    5    5    5    1    1    1    1    1    1    1    2    3
107    3    5    5    5    1    1    1    1    1    1    1    2    3
