HR_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 62    3    4    4    5    5    1    1    1    1    1    2    3    3
 63    3    4    4    5    5    1    1    1    1    1    2    3    3
 64    3    4    4    5    5    1    1    1    1    1    2    3    3
 65    3    4    4    5    5    1    1    1    1    1    2    3    3
 66    3    4    4    5    5    1    1    1    1    1    2    3    3
 67    3    4    4    5    5    1    1    1    1    1    2    3    3
 68    3    4    4    5    5    1    1    1    1    1    2    3    3
 69    3    4    4    5    5    1    1    1    1    1    2    3    3
 70    3    4    4    5    5    1    1    1    1    1    2    3    3
 71    3    4    4    5    5    1    1    1    1    1    2    3    3
 72    3    4    4    5    5    1    1    1    1    1    2    3    3
 73    3    4    4    5    5    1    1    1    1    1    2    3    3
 74    3    4    4    5    5    1    1    1    1    1    2    3    3
 75    3    4    4    5    5    1    1    1    1    1    2    3    3
 76    3    4    4    5    5    1    1    1    1    1    2    3    3
 77    3    4    4    5    5    1    1    1    1    1    2    3    3
 78    3    4    4    5    5    1    1    1    1    1    2    3    3
 79    3    4    4    5    5    1    1    1    1    1    2    3    3
 80    3    4    4    5    5    1    1    1    1    1    2    3    3
 81    3    4    4    5    5    1    1    1    1    1    2    3    3
 82    3    4    4    5    5    1    1    1    1    1    2    3    3
 83    3    4    4    5    5    1    1    1    1    1    2    3    3
 84    3    4    4    5    5    1    1    1    1    1    2    3    3
 85    3    4    4    5    5    1    1    1    1    1    2    3    3
 86    3    4    4    5    5    1    1    1    1    1    2    3    3
 87    3    4    4    5    5    1    1    1    1    1    2    3    3
 88    3    4    4    5    5    1    1    1    1    1    2    3    3
 89    3    4    4    5    5    1    1    1    1    1    2    3    3
  1    4    4    4    5    5    1    1    1    1    1    2    3    3
  2    4    4    4    5    5    1    1    1    1    1    2    3    3
  3    4    4    4    5    5    1    1    1    1    1    2    3    3
  4    4    4    4    5    5    1    1    1    1    1    2    3    3
  5    4    4    4    5    5    1    1    1    1    1    2    3    3
  6    4    4    4    5    5    1    1    1    1    1    2    3    3
  7    4    4    4    5    5    1    1    1    1    1    2    3    3
  8    4    4    4    5    5    1    1    1    1    1    2    3    3
  9    4    4    4    5    5    1    1    1    1    1    2    3    3
 10    4    4    4    5    5    1    1    1    1    1    2    3    3
 11    4    4    4    5    5    1    1    1    1    1    2    3    3
 12    4    4    4    5    5    1    1    1    1    1    2    3    3
 13    4    4    4    5    5    1    1    1    1    1    2    3    3
 14    4    4    4    5    5    1    1    1    1    1    2    3    3
 15    4    4    4    5    5    1    1    1    1    1    2    3    3
 16    4    4    4    5    5    1    1    1    1    1    2    3    3
 17    4    4    4    5    5    1    1    1    1    1    2    3    3
 18    4    4    4    5    5    1    1    1    1    1    2    3    3
 19    4    4    4    5    5    1    1    1    1    1    2    3    3
 20    4    4    4    5    5    1    1    1    1    1    2    3    3
 21    4    4    4    5    5    1    1    1    1    1    2    3    3
 22    4    4    4    5    5    1    1    1    1    1    2    3    3
 23    4    4    4    5    5    1    1    1    1    1    2    3    3
 24    4    4    4    5    5    1    1    1    1    1    2    3    3
 25    4    4    4    5    5    1    1    1    1    1    2    3    3
 26    4    4    4    5    5    1    1    1    1    1    2    3    3
 27    4    4    4    5    5    1    1    1    1    1    2    3    3
 28    4    4    4    5    5    1    1    1    1    1    2    3    3
 29    4    4    4    5    5    1    1    1    1    1    2    3    3
 30    4    4    4    5    5    1    1    1    1    1    2    3    3
 31    4    4    4    5    5    1    1    1    1    1    2    3    3
 32    4    4    4    5    5    1    1    1    1    1    2    3    3
 33    4    4    4    5    5    1    1    1    1    1    2    3    3
 34    4    4    4    5    5    1    1    1    1    1    2    3    3
 35    4    4    4    5    5    1    1    1    1    1    2    3    3
 36    4    4    4    5    5    1    1    1    1    1    2    3    3
 37    4    4    4    5    5    1    1    1    1    1    2    3    3
 38    4    4    4    5    5    1    1    1    1    1    2    3    3
 39    4    4    4    5    5    1    1    1    1    1    2    3    3
 40    4    4    4    5    5    1    1    1    1    1    2    3    3
 41    4    4    4    5    5    1    1    1    1    1    2    3    3
 42    4    4    4    5    5    1    1    1    1    1    2    3    3
 43    4    4    4    5    5    1    1    1    1    1    2    3    3
 44    4    4    4    5    5    1    1    1    1    1    2    3    3
 45    4    4    4    5    5    1    1    1    1    1    2    3    3
 46    4    4    4    5    5    1    1    1    1    1    2    3    3
 47    4    4    4    5    5    1    1    1    1    1    2    3    3
 48    4    4    4    5    5    1    1    1    1    1    2    3    3
 49    4    4    4    5    5    1    1    1    1    1    2    3    3
 50    4    4    4    5    5    1    1    1    1    1    2    3    3
 51    4    4    4    5    5    1    1    1    1    1    2    3    3
 52    4    4    4    5    5    1    1    1    1    1    2    3    3
 53    4    4    4    5    5    1    1    1    1    1    2    3    3
 54    4    4    4    5    5    1    1    1    1    1    2    3    3
 55    4    4    4    5    5    1    1    1    1    1    2    3    3
 56    4    4    4    5    5    1    1    1    1    1    2    3    3
 57    4    4    4    5    5    1    1    1    1    1    2    3    3
 58    4    4    4    5    5    1    1    1    1    1    2    3    3
 59    4    4    4    5    5    1    1    1    1    1    2    3    3
 60    4    4    4    5    5    1    1    1    1    1    2    3    3
 61    4    4    4    5    5    1    1    1    1    1    2    3    3
 62    4    4    4    5    5    1    1    1    1    1    2    3    3
 63    4    4    4    5    5    1    1    1    1    1    2    3    3
 64    4    4    4    5    5    1    1    1    1    1    2    3    3
