PLN_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
116    3    4    4    5    5    1    1    1    1    1    2    3    4
117    3    4    4    5    5    1    1    1    1    1    2    3    4
118    3    4    4    5    5    1    1    1    1    1    2    3    4
119    3    4    4    5    5    1    1    1    1    1    2    3    4
120    3    4    4    5    5    1    1    1    1    1    2    3    4
121    3    4    4    5    5    1    1    1    1    1    2    3    4
122    3    4    4    5    5    1    1    1    1    1    2    3    4
123    3    4    4    5    5    1    1    1    1    1    2    3    4
124    3    4    4    5    5    1    1    1    1    1    2    3    4
125    3    4    4    5    5    1    1    1    1    1    2    3    4
126    3    4    4    5    5    1    1    1    1    1    2    3    4
127    3    4    4    5    5    1    1    1    1    1    2    3    4
128    3    4    4    5    5    1    1    1    1    1    2    3    4
129    3    4    4    5    5    1    1    1    1    1    2    3    4
130    3    4    4    5    5    1    1    1    1    1    2    3    4
131    3    4    4    5    5    1    1    1    1    1    2    3    4
132    3    4    4    5    5    1    1    1    1    1    2    3    4
133    3    4    4    5    5    1    1    1    1    1    2    3    4
134    3    4    4    5    5    1    1    1    1    1    2    3    4
135    3    4    4    5    5    1    1    1    1    1    2    3    4
136    3    4    4    5    5    1    1    1    1    1    2    3    4
137    3    4    4    5    5    1    1    1    1    1    2    3    4
138    3    4    4    5    5    1    1    1    1    1    2    3    4
139    3    4    4    5    5    1    1    1    1    1    2    3    4
140    3    4    4    5    5    1    1    1    1    1    2    3    4
141    3    4    4    5    5    1    1    1    1    1    2    3    4
142    3    4    4    5    5    1    1    1    1    1    2    3    4
143    3    4    4    5    5    1    1    1    1    1    2    3    4
144    3    4    4    5    5    1    1    1    1    1    2    3    4
145    3    4    4    5    5    1    1    1    1    1    2    3    4
146    3    4    4    5    5    1    1    1    1    1    2    3    4
  1    4    4    4    5    5    1    1    1    1    1    2    3    4
  2    4    4    4    5    5    1    1    1    1    1    2    3    4
  3    4    4    4    5    5    1    1    1    1    1    2    3    4
  4    4    4    4    5    5    1    1    1    1    1    2    3    4
  5    4    4    4    5    5    1    1    1    1    1    2    3    4
  6    4    4    4    5    5    1    1    1    1    1    2    3    4
  7    4    4    4    5    5    1    1    1    1    1    2    3    4
  8    4    4    4    5    5    1    1    1    1    1    2    3    4
  9    4    4    4    5    5    1    1    1    1    1    2    3    4
