HR_01x01
           i           j   heigt(m a.s.l.)
          14          62      1354.7734
          14          63      1381.9862
          14          64      1316.4832
          14          65      1047.3037
          15           1        29.0500
          15           2       132.3734
          15           3       282.5477
          15           4       353.4194
          15           5       395.8058
          15           6       618.5604
          15           7      1119.6517
          15           8      1370.8064
          15           9      1091.4519
          15          10      1014.4777
          15          11      1122.0820
          15          12       983.8080
          15          13       946.6376
          15          14      1083.8940
          15          15      1120.8724
          15          16      1209.4459
          15          17      1421.4067
          15          18      1233.1104
          15          19       720.5851
          15          20       400.8853
          15          21       303.6215
          15          22       280.6580
          15          23       196.8975
          15          24        97.0074
          15          25        40.2892
          15          26         4.8581
          15          27         0.0000
          15          28         0.1240
          15          29         0.0000
          15          30         0.0000
          15          31         0.0000
          15          32         0.0000
          15          33         0.0000
          15          34         0.0000
          15          35         0.0000
          15          36         0.0000
          15          37         0.0000
          15          38         0.0000
          15          39         0.0000
          15          40         0.0000
          15          41         0.0000
          15          42         0.0000
          15          43         0.0042
          15          44         0.0000
          15          45         0.0000
          15          46         1.0005
          15          47         7.6878
          15          48        38.3263
          15          49        66.4054
          15          50       195.9327
          15          51       535.6573
          15          52       956.1391
          15          53      1376.1123
          15          54      1468.2950
          15          55      1030.7681
          15          56       945.8113
          15          57      1497.4929
          15          58      2083.5256
          15          59      2269.1021
          15          60      1938.1448
          15          61      1551.9611
          15          62      1254.5747
          15          63      1188.9917
          15          64      1242.8999
          15          65      1067.7180
          16           1         0.0000
          16           2        93.2705
          16           3       248.3711
          16           4       295.2098
          16           5       315.1464
          16           6       700.3139
          16           7      1268.1162
          16           8      1208.5435
          16           9       958.9315
          16          10      1431.4565
          16          11      1495.6024
          16          12       961.3715
          16          13      1042.9370
          16          14      1384.4282
          16          15      1383.0913
          16          16      1085.9709
          16          17       866.4987
          16          18       735.8105
          16          19       492.0688
          16          20       299.9566
          16          21       215.0106
          16          22       181.5956
          16          23       136.6607
          16          24        73.5869
          16          25        20.4264
          16          26         0.0000
          16          27         0.0000
          16          28         0.0633
          16          29         0.0000
          16          30         0.0000
          16          31         0.0000
          16          32         0.0000
          16          33         0.0000
          16          34         0.0000
          16          35         0.0000
          16          36         0.0000
          16          37         0.0000
          16          38         0.0000
          16          39         0.0000
          16          40         0.1015
          16          41         0.0000
          16          42         0.0000
          16          43         0.0000
          16          44         0.0000
          16          45         0.7836
          16          46         0.0225
          16          47         7.1619
          16          48        25.0714
          16          49        79.6754
          16          50       280.9420
          16          51       722.3036
          16          52      1108.9634
          16          53      1314.8647
          16          54      1376.5425
          16          55      1230.2664
          16          56      1034.3274
          16          57      1255.8108
          16          58      2045.6113
          16          59      2346.2314
          16          60      2050.3796
          16          61      1719.7811
          16          62      1344.4573
          16          63      1173.5303
          16          64      1186.0452
          16          65      1059.5776
          17           1         0.0000
          17           2       107.5476
          17           3       247.5494
          17           4       281.6402
          17           5       420.0450
          17           6       839.9905
          17           7      1073.9258
          17           8       925.2831
          17           9      1015.2457
          17          10      1670.9058
          17          11      1534.0916
          17          12      1094.8513
          17          13      1299.4313
          17          14      1309.8464
          17          15      1240.0776
          17          16       954.5924
          17          17       518.0325
          17          18       416.3409
          17          19       343.3085
          17          20       230.3422
          17          21       151.7786
          17          22        92.4357
          17          23        93.0097
          17          24        86.8388
          17          25        22.0705
          17          26         0.0000
          17          27         0.2265
          17          28         0.0000
          17          29         0.0000
          17          30         0.0000
          17          31         0.0000
          17          32         0.0000
          17          33         0.0000
          17          34         0.0000
          17          35         0.0000
          17          36         0.0000
          17          37         0.0000
          17          38         0.1732
          17          39         0.0000
          17          40         0.0000
          17          41         0.0000
          17          42         1.1301
          17          43         5.4563
          17          44         1.7190
          17          45         0.0000
          17          46         3.0000
          17          47         7.1937
          17          48        45.1714
          17          49       197.8066
          17          50       335.9005
          17          51       747.9204
          17          52      1337.5469
          17          53      1432.3552
          17          54      1359.8389
          17          55      1384.8182
          17          56      1266.3829
          17          57      1226.3036
          17          58      1705.6699
          17          59      2122.0083
          17          60      2057.3696
          17          61      1793.5623
          17          62      1462.2554
          17          63      1273.3018
          17          64      1151.4426
          17          65       973.6000
          18           1         0.0000
          18           2       170.3056
          18           3       267.7776
          18           4       248.9927
          18           5       488.8195
          18           6       904.0427
          18           7       964.6511
          18           8       737.3168
          18           9       952.4464
          18          10      1395.0566
          18          11      1174.0862
          18          12      1324.9421
          18          13      1622.4475
          18          14       974.0743
          18          15       711.2402
          18          16       754.8011
          18          17       448.3483
          18          18       358.9919
